31KBytes.txt,10497,10652,10321,10209,10226,10194,10272,10450,10185,10224,10348,10187,10174,10197,10196,10257,10192,10206,10262,10188,10217,10542,10183,10251,10239,10153,10511,10171,10118,10130,10154,10149,10285,10170,10128,10158,10170,10144,10158,10143,10173,10169,10166,10549,10142,10174,10175,10192,10147,10158
249KBytes.txt,11008,10753,10730,10543,10565,10552,10555,10521,10577,10545,10537,10580,10563,10636,10543,10506,10500,10640,10511,10514,10589,10685,10509,10535,10513,10554,10528,10558,10528,10551,10540,10511,10422,10514,10522,10540,10532,10532,10567,10547,10592,10530,10533,10579,10535,10538,10490,10611,10711,10538
497KBytes.txt,11616,11198,11019,10925,13123,11825,12431,10863,10604,10936,11289,11025,12893,10847,10911,10932,10706,11018,11074,10623,10851,12886,10997,10753,10806,11963,10584,10970,10861,10864,10716,10650,10833,11240,10808,10865,10844,10610,10807,10823,10876,10800,10859,10859,11064,10790,10841,10636,10887,10800
1988KBytes.txt,14888,12071,12477,13526,12145,12895,11650,11928,12665,13325,12318,12235,12183,12494,11711,12665,11428,12028,13508,12121,12837,11702,13660,11674,12930,12749,13563,11480,11539,14273,13343,12145,12135,12275,11995,11677,11811,12285,12964,12881,11992,11777,11652,12617,11501,11807,12496,11916,11867,13864
3976KBytes.txt,16530,13110,14524,12929,14401,13288,14755,15416,12712,14874,14242,13783,13076,12762,13987,13707,15936,13479,14459,14212,15052,14452,13555,14953,12467,15644,14776,13256,13481,13430,14665,13673,14793,13396,15317,14053,14301,13482,14823,13547,14274,12783,14220,13337,14651,13973,13857,13078,13055,13029
15904KBytes.txt,32095,27896,30423,27269,25385,25250,24853,26675,21647,22890,24028,25968,24840,27457,25900,29251,22397,24761,23329,24379,28333,24684,23783,25375,27059,26849,22569,22913,20941,27180,25491,24611,25896,25472,20740,26489,25578,24500,22018,23000,23463,23542,23782,24585,22519,19730,26028,22972,26450,26642
31808KBytes.txt,48934,48412,39711,39221,40841,40082,40348,44606,40776,39889,38952,43028,39925,35521,37617,39278,34004,40202,42799,34035,32674,34756,33953,39844,37670,38983,33601,37106,36012,32951,38589,35279,37495,35815,36092,37758,36688,36557,36474,35920,33361,38096,37422,41163,37965,38734,40631,35257,39502,38108
63616KBytes.txt,69113,71446,59294,57907,64691,60257,64019,67407,63719,60831,64335,67151,65099,68357,64290,74025,63263,55957,60844,64850,67819,62657,63008,66381,65668,69958,63595,68077,62306,64762,64070,63550,59568,68806,64952,63142,64513,63292,64836,68582,72496,64663,62263,59754,65349,63987,68237,65091,65889,67204
127232KBytes.txt,146376,124554,129302,132714,131368,160760,129798,125831,121284,130668,114551,131163,134803,139849,126564,130095,118279,124280,134706,133460,126481,123588,128890,116043,124177,117331,121729,130091,123946,116658,118190,103658,120035,123026,128677,132661,130959,132287,135384,136191,137836,125755,127298,133779,125992,121365,110441,128532,122580,131384
254464KBytes.txt,259173,239687,245650,240405,248799,242579,263606,235942,214984,222817,232099,229799,209904,207530,243628,244862,202120,226772,230821,211929,212565,219818,237278,232806,217948,223698,222930,225151,245887,228658,251082,248445,244577,242443,262053,246899,229120,224684,246677,213589,239532,241721,258635,224776,238051,207287,208369,196347,215621,191007
